author,dates,title,views
ㅇㅇ,2022-01-14 13:31:40,저학력 흙수저를 멀리해야 하는 이유는,768
노무횬,2022-01-14 13:31:36,마소 닷컴버블때 폭락하고  고점회복까지 걸린기간,170
ㅇ,2022-01-14 13:31:30,삼성증권 개인계좌몇개까지되냐,11
ㅇㅇ,2022-01-14 13:31:22,살면서 젤 억울한게 클럽 못가본거,190
ㅇㅇ,2022-01-14 13:31:07,뭐든지 잘나야 아무말이나 할 수 있음,35
_썰물,2022-01-14 13:31:06,본인 노동소득 제로,33
ㅇㅇ,2022-01-14 13:30:57,마소 올해는,46
ㅇㅇ,2022-01-14 12:44:13,피터린치 짤 도배될 때까지 존버,44
ㅇㅇ,2022-01-14 12:43:55,당연히 추매해야하는거아님?,99
Dd,2022-01-14 12:43:32,나스닥이15000인데 주식을사? ,32
psycho,2022-01-14 12:56:49,(오피셜) 테슬라 도지 스토어 입갤 ㅋㅋㅋ,188
ㅇㅇ,2022-01-14 13:50:49,마소 지금 들어갈 타이밍인가,160
ㅇㅇ,2022-01-14 13:50:35,씨웹 주주님들 장기 반납하실 시간입니다,60
ㅇㅇ,2022-01-14 13:50:14,본전만 찾게 해주세요,51
ㅇㅇ,2022-01-14 13:50:11,ㄹㅇ 회사생활 근태도 못지켜서 대출끼고 자영업하는 병신들이,103
ㅇㅇ,2022-01-14 13:49:43,사팔사팔 하니까 이건좋네,47
꼰대,2022-01-14 13:49:31,뭐든지 자산이 올라갈려면 위험요소가있어야함 ,28
ㅇㅇ,2022-01-14 13:49:04,대학생이고 현금 채굴 못하면 스윙이 좋냐?,115
ㅇㅇ,2022-01-14 13:49:00,씨웹산 새기들 다시 염전으로 끌려가기 일보직전이노 ㅋㅋㅋ,41
ㅇㅇ,2022-01-14 13:48:25,"근데 테슬람들 은근 마소,엔비하락에 뭍어가는거 존나웃기네 ㅋㅋㅋ",58
ㅍㅍㅍㅍ,2022-01-14 13:47:59,니네 나스닥 할배 모르냐 ??,116
ㅇㅇ,2022-01-14 14:19:50,트황 복귀까지 몇년남았냐??,34
3X_Leveraged,2022-01-14 14:18:20,힘들때 한 번씩 본다...,283
ㅇㅇ,2022-01-14 14:17:21,어디가서 마소 물렸다는 소리하면 조롱당할듯,137
ㅇㅇ,2022-01-14 14:16:45,근데 너희들 작년2월 기억 안남?,154
ㅇㅇ,2022-01-14 14:16:43,변리사인데 사는게힘들다..,267
ㅇㅇ,2022-01-14 14:15:46,아니 근데 어제 뭐라 그랬는데,25
ㅇㅇ,2022-01-14 14:15:27,사람마다 스타일이 있음 장투만 답은 아님,45
ㅇㅇ,2022-01-14 14:15:07,나스닥 11월 고점부터 3개월째 진행중이다,54
ㅇㅇ,2022-01-14 14:14:47,님들 주식이 뭔가요? 나스닥? 연준? 그게 머에요?,21
ㅇㅇ,2022-01-14 14:03:59,월급쟁이 VS 자영업(사업) 진리 알려드림.TXT,187
ㅇㅇ,2022-01-14 14:03:48,숏충이들 좆같은데 오르면 좋겠노,18
ㅇㅇ,2022-01-14 14:03:19,짱개 새기들은 인류 문명을 퇴보시키고 있음,23
ㅇㅇ,2022-01-14 14:02:53,지금 들어가면 설ㄱ지후 20년후 탈출?,19
OO,2022-01-14 14:02:27,"나선, 프프장, 프장, 앱장, 텔아비브, 비트코인 시세",46
ㅇㅇ,2022-01-14 14:02:10,Etf는 운용수수료를 따로 지불하냐?,106
ㅇ,2022-01-14 14:01:56,출퇴근만 하니까 2년된 차 11000km ㅋㅋ,52
124,2022-01-14 14:01:42,디씨가좋은게 아무한테도 할수없는이야기를 씨부리고 ,28
노무횬,2022-01-14 13:03:58,TQ 충들  돈분쇄기에 빨려들어간다 ~~~ 꺄아아아악,28
ㅇㅇ,2022-01-14 13:03:54,미주갤 공탐 지수 몇이냐?,64
지옥교주,2022-01-14 13:03:41,숏충이 새끼들 선지자인냥 나대는 꼴 뵈기싫네,50
ㅇㅇ,2022-01-14 13:03:37,나선 갑자기 폭등중 ㅋㅋㅋㅋㅋ 숏충이들 뒈져ㅋㅋㅋㅋ,69
ㅇㅇ,2022-01-14 13:03:36,강.간 해달라고 하면 하냐??,129
ㅇㅇ,2022-01-14 13:03:34,아 씨발 폭락장 아가씨 재밌는데 누가지웠냐,33
ㅇㅇ,2022-01-14 13:03:11,폭락장 아가씨..4,219
ㅇㅇ,2022-01-14 13:03:11,어닝 기다리는 갤러에게 조언해줌,35
ㅇㅇ,2022-01-14 14:51:40,작년 1월 드론테마는 ㄹㅇ 전설이지,59
ㅇㅇ,2022-01-14 14:51:22,테슬라 1260층 어떡하냐 ㅠㅠ,69
ㅇㅇ,2022-01-14 14:51:21,세상에서 가장 안전한 주식 voo 맞냐?,51
ㅇㅇ,2022-01-14 14:50:57,화살숏 화살숏 화살숏 화살숏,15
ㅇㅇ,2022-01-14 14:50:40,나스닥이랑 코스피 커플링 깨졌나 했는데,39
ㅇㅇ,2022-01-14 14:50:31,빅테크 뿌셔 ㅠㅠ 캐시우드 뿌셔 ㅠㅠㅠㅠㅠㅠㅠ,46
ㅇㅇ,2022-01-14 14:50:23,오늘도 연준 powerful tool 한마디면 나락임,31
숏케이크,2022-01-14 14:50:11,국장보니 반도체 아직 살아있어,28
민뚜색,2022-01-14 14:36:04,mts ui 좋은 증권사 추천 좀,18
ㅇㅇ,2022-01-14 14:35:48,현 2030 한국여자가 개차반인건 당연한거 아니냐 ㅋㅋㅋ,114
Dd,2022-01-14 14:35:46,나서나선 양전한다고 조아하는 흑우업제 ㅋㅋㅋㅋㅋ,18
짐승동,2022-01-14 13:18:13,개인적으로 보는 월급의 체감,179
ㅇㅇ,2022-01-14 13:18:03,어제 그래서 할카스때매 운지한거 러시아때매한거?,61
ㅇㅇ,2022-01-14 13:18:01,오늘 상승장일듯?,72
컬트,2022-01-14 13:17:30,확실히 이런 장때는 고배당 주 에 20% 정도는 넣어둬야함,41
ㅇㅇ,2022-01-14 13:17:18,브레이너드 매파발언한 이유,143
지옥교주,2022-01-14 13:30:55,마소 마4는 레알 충격이네,241
ㅇㅇ,2022-01-14 13:30:47,올해 4월에 5천정도 환전해야해서,25
ㅇㅇ,2022-01-14 13:30:43,미국은 별로 좋은 나라는 아니지 않냐?,71
국장,2022-01-14 13:30:28,연준은 절대 독립된 기관 아니다,86
노무횬,2022-01-14 13:30:13,최근 지수는 조금빠지는데 빅스가 3~5% 발작하며 띄는 모습이 자주보였는,44
ㅇㅇ,2022-01-14 13:29:44,브레이너드 이 씨발년 흑인 3명이랑 떼씹 즐길 관상임,213
ㅇㅇ,2022-01-14 13:29:37,떨어질 때 사고 오를 때 파는 나,48
ㅇㅇ,2022-01-14 12:42:59,브레이너드 정도면 미시로 가능하다 손,196
ㅇㅇ,2022-01-14 12:42:24,테슬라 어닝이 26일이잖아,117
ㅇㅇ,2022-01-14 12:42:22,주식 개쉬우면 개추 ㅋㅋㅋㅋ,161
삼수의왕,2022-01-14 12:42:22,마소 떨어져서 오히려좋다 ㅋㅋ 추매 가자 ,89
ㅇㅇ,2022-01-14 12:41:25,치매 걸린년,111
ㅁㅅㅁ,2022-01-14 12:41:25,금리 오르는데 대출받으라고 ㅈㄴ 오네 ㅋㅋ,67
ㅇㅇ,2022-01-14 12:56:28,"성별갈라치기년,게이,레즈,바이섹슈얼 특",54
ㅇㅇ,2022-01-14 12:56:01,국장 졸라 빠지네,49
5QQQ,2022-01-14 12:55:30,주식 1년차가 본 각 갤별 특징,154
ㅇㅇ,2022-01-14 12:55:17,마소 씨발 작년 9월 가격으로 회귀했네,153
ㅇㅇ,2022-01-14 13:47:31,"앞으로 이말올,선반영 이라고 외칠때 마다 떨어질줄 알아라",83
ㅇㅇ,2022-01-14 13:46:26,연준위원 이거 좆사기 직책이네,201
ㅇㅇ,2022-01-14 13:46:21,20대초반에 주식시작해서 장투로 볼거면,163
ㅇㅇ,2022-01-14 13:45:46,얘들아 나 방금 코피났다,45
ㅇㅇ,2022-01-14 13:44:53,자영업자 한심한게 오픈-마감 시간준수 안하는거 ㅋㅋ,133
ㅇㅇ,2022-01-14 14:14:45,하필 마소 어닝이랑 fomc 날이 겹치네 ,54
ㅇㅇ,2022-01-14 14:14:37,오늘 프장에 tq 사는이유는,65
ㅇㅇ,2022-01-14 14:14:34,마소 330인데 손절해야하나요 ㅠㅠ,148
스턉,2022-01-14 14:13:30,탈출하는데 몇년 걸림?,163
ㅇㅇ,2022-01-14 14:13:08,슨피랑 다우ㅇ좀 빠져야햔다,24
ㅇㅇ,2022-01-14 14:01:15,동학개미들은 돈이 마르지를 않나봄,182
ㅇㅇ,2022-01-14 14:01:14,씨웹 정찰병 근황,130
ㅇㅇ,2022-01-14 14:00:58,건설회사<<부실공사 걸리면 펀더멘탈 나락 아님?,29
OxychuBot,2022-01-14 14:00:28,현재 공포지수 51 / Neutral,22
ㅇㅇ,2022-01-14 13:59:34,자영업자가 망하는게 본인의 탓이라면 취업난도 본인의 능력부족 아닐까,108
ㅇㅇ,2022-01-14 13:59:19,물려도 상관없는것이  트황 복귀하면 3만스닥임,51
푱,2022-01-14 13:59:18,시즌종료느낌 강하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,68
ㅇㅇ,2022-01-14 13:59:06,59.1 형은 어디 가심?,19
ㅇㅇ,2022-01-14 13:02:45,싱글벙글 폭락장 ㅋㅋㅋㅋ,133
ㅇㅇ,2022-01-14 13:02:39,어제 쏙쓸 꼭지에서 산애 있냐?,32
노무횬,2022-01-14 13:02:23,내스닥 13000 애개뤼 쩌어어어억~ ㅋㅋ,23
나는아름답다,2022-01-14 13:01:47,미 증시 탑10 ,112
ㅇㅇ,2022-01-14 13:00:58,라부  코로나 전보다 빠졌는데 왜안사?,49
ㅇㅇ,2022-01-14 13:00:50,금리 올렸는데 환율 왜 안 내리냐?,80
ㅇㅇ,2022-01-14 13:00:47,나스닥 11월 고점부터 3달가까이 조정장이다,102
ㅇㅇ,2022-01-14 13:00:36,아가리쩌억충이 많으면 좋은이유,92
차이나남바완,2022-01-14 13:00:31,항생테크 개같이 부활~~~~~~~~,50
OxychuBot,2022-01-14 13:00:22,현재 공포지수 51 / Neutral,18
ㅇㅇ,2022-01-14 14:49:56,글리젠 확실히 줄었다,75
ㅇㅇ1,2022-01-14 14:49:49,셀트 씹스캠,23
ㅇㅇ,2022-01-14 14:49:45,기술적으론 오늘도 떡락이네,28
ㅇㅇ,2022-01-14 14:48:45,형이 니들 불쌍해서 하나 알려준다. 팔지마라.,74
ㅇㅇ,2022-01-14 14:48:42,대충 기억나는 개잡주 리스트,132
차트쌉고수,2022-01-14 14:48:26,ㅋㅋ 씨웹 오늘 11.5정도 마감 하겠노,24
ㅇㅇ,2022-01-14 14:48:18,"현금채굴 힘들다,,",84
ㅇㅇ,2022-01-14 14:47:50,쏙솔 올해 100가능하냐,42
ㅇㅇ,2022-01-14 14:47:49,님들 해외주식양도소득세는 종합소득세와별개인가요 ?,36
강현수차장,2022-01-14 14:35:44,어제 분명히 +7%였는데 아침에 일어나니 왜 마이너스,85
ㅇㅇ,2022-01-14 14:35:41,농담 아니고 미장 200선 뚫는 이유.txt,65
ddd,2022-01-14 14:35:24,주식의 세계와 역사는 항상 반복임,106
ㅇㅇ,2022-01-14 14:35:01,연어에 10억 넣었다 10분에 토막났다,126
ㅇㅇ,2022-01-14 14:34:46,연어 모르는 애들 꽤많네 ㅋㅋ미주갤에서 존나 핫했는데,125
ㅇㅇ,2022-01-14 14:34:35,고점대비 하락률 ㄷㄷㄷ,79
dd,2022-01-14 14:34:21,QLD는 편안하다,36
RΛΖΞR,2022-01-14 14:34:10,나 어제 펑구로 개처맞았어,41
ㅇㅇ,2022-01-14 14:34:03,soxx 10년장투 유효하냐??,11
ㅇㅇ,2022-01-14 13:16:58,풋쟁이 11월에 엄청 많앗는데,41
ㅇㅇ,2022-01-14 13:15:21,낸시 vs 브레이너드   둘 중에 누구랑 하고싶냐?,218
ㅇㅇ,2022-01-14 13:15:18,브레이너드는 연준의장 안되서 꼬장부르는거,37
ㅇㅇ,2022-01-14 13:15:15,이 주식은 뭐하는 주식이냐?,160
나는아름답다,2022-01-14 13:15:06,메이웨더 실화냐 ,127
E.D.hacker,2022-01-14 13:15:04,니들 현금자산 매년 20퍼씩 불려주는 대신 주식 평생 금지면,148
ㅇㅇ,2022-01-14 13:14:58,나스닥 차트에 줄그어봣자,72
ㅇㅇ,2022-01-14 13:14:36,어제 그 늙은틀딱년떔에 하루 천단위손실봄,86
ㅇㅇ,2022-01-14 13:14:30,스큐 15000에서 샀다 14000 본다,47
ㅇㅇ,2022-01-14 13:14:26,딱히 오를 이유가 없지않냐,29
ㅇㅇ,2022-01-14 13:13:48,존ㄴ ㅏ춥다 씨발!!!!!!!!!,21
SAIF,2022-01-14 13:29:13,오늘도 줌줍간다 마3 시원하게 함 찍자!,16
ㅇㅇ,2022-01-14 13:29:09,올해 ipo는 다 조진 거 같다 쳐다보지 마라 ㅋㅋ,64
나는아름답다,2022-01-14 13:28:58,mRNA 근황 ,114
ㅇㅇ,2022-01-14 13:28:25,솔직히 주식장 돌아가는 눈치만 있으면 풀대출 해서,146
노무횬,2022-01-14 13:27:13,주말에 초대형 악재 터진다,73
3X_Leveraged,2022-01-14 13:27:03,어제 속쓸이 +7% 갔었다는게 사실이야?,240
델리알리,2022-01-14 13:26:58,노동소득 나보다 많은사람?,146
ㅇㅇ,2022-01-14 13:26:42,이제 속쓰 드가도 되냐??,20
ㅇㅇ,2022-01-14 13:26:23,올해 전략 팁,35
난준이,2022-01-14 12:41:04,로블97층 -18퍼다,69
ㅇㅇ,2022-01-14 12:40:51,어제 soxl 500에 익절 했다가 절반 다시 탔는데,56
ㅇㅇ,2022-01-14 12:40:36,다들 지금 계좌 40% 이상 수익 아님??,70
ㅇㅇ,2022-01-14 12:39:28,Fed가 답을 말해주는데 대체 뭐하냐 니네?,130
ㅇㅇ,2022-01-14 12:37:49,가끔 나는 생각함. 이거 혹시 트루먼쇼가아닐까,137
ㅇㅇ,2022-01-14 12:37:46,키움 실투 평균 -14% ㅋㅋ,109
ㅇㅇ,2022-01-14 12:37:45,오늘 만약 추매 할려면,71
